schoolname,city,state
Tilden High School,Chicago,IL
Fairfield High School,Birmingham,AL
Langham Creek High School,Cypress,TX
Sherman Elementary School,Chicago,IL
Marcus Garvey Academy,Detroit,MI
Finney High School,Detroit,MI
Evander Childs High School,Bronx,NY
Desert View High School,Tucson,AZ
Hollibrook Elementary School,Houston,TX
Paramount High School,Los Angeles,CA
Hiram Johnson High School,Sacramento,CA
Palo Duro High School,Amarillo,TX
Merced High School,Merced,CA
Archbishop Carroll High School,Washington,DC
Huntsville Junior High School,Huntsville,TX
Silverado Middle School,Napa,CA
Lindhurst High School,Olivehurst,CA
Lincoln High School,Dallas,TX
Fort Myers High School,Fort Myers,FL
Hamilton Middle School,Obetz,OH
Thomas Jefferson High School,Brooklyn,NY
Booker T. Washington High School,Norfolk,VA
Douglass High School,Oklahoma City,OK
Francis W. Gregory Junior High School,Gentilly,LA
Greenwood High School,Greenwood,SC
Whiteville High School,Whiteville,NC
Milby High School,Houston,TX
Ysleta High School,El Paso,TX
Walter L. Cohen Senior High School,New Orleans,LA
Oak Cliff High School,Dallas,TX
Genevieve Sparks Elementary School,Pasadena,TX
Woodruff High School,Woodruff,SC
Monadnock Regional High School,Swanzey,NH
Madison Park High School,Roxbury,MA
James Monroe High School,Bronx,NY
Roosevelt High School,Los Angeles,CA
Spring Woods High School (bus),Houston,TX
Crosby High School,Crosby,TX
Madison High School,Houston,TX
Enterprise Middle School,Compton,CA
Westchester High School,Los Angeles,CA
School of Choice,Pahokee,FL
Robert A. Millikan Junior High School,Sherman Oaks,CA
Coronado Middle School,Kansas City,KS
Franklin Alternative Middle School,Columbus,OH
Humphrey's County High School,Belzoni,MS
Ralph J. Bunche Middle School,Compton,CA
Northwest High School,Rock Hill,SC
Woodmont High School,Piedmont,SC
Hood Middle School,Dallas,TX
Richardson High School,Richardson,TX
Salmen High School,Slidell,LA
Justin Kimball High School,Dallas,TX
Naaman Forest High School,Garland,TX
Charlestown High School,Charlestown,IN
W H Adamson High School,Dallas,TX
Legion Field Statium (high school game),Birmingham,AL
Sam Houston High School,San Antonio,TX
South Forsyth Middle School - High School,Cumming,GA
Eldorado High School,Las Vegas,NV
Myers Park High School,Charlotte,NC
Sunrise Elementary School,Fort Worth,TX
Hickman County High School,Centerville,TN
Mount Pleasant High School,East San Jose,CA
Taft High School,Cincinnati,OH
Central High School,Providence,RI
Chester High School,Chester,SC
W W Samuell High School,Dallas,TX
Serra Catholic High School bus,McKeesport,PA
Caddo Magnet High School,Shreveport,LA
Channel Islands High School,Oxnard,CA
Workman Junior High School,Arlington,TX
Alfred E. Smith High School,New York,NY
Oliver Wendell Holmes Middle School,Dallas,TX
Loara High School,Anaheim,CA
Jackson County High School,McKee,KY
Dysart High School,El Mirage,AZ
A Maceo Smith High School,Dallas,TX
Thomas Jefferson Junior High School,Kearns,UT
Rigby Junior High School,Rigby,ID
Woodrow Wilson HIgh School,Washington,DC
Cleveland Elementary School,Stockton,CA
Henderson Junior High School,Little Rock,AR
Atlantic Shores Christian School,Virginia Beach,VA
Abilene Cooper High School,Abilene,TX
Glendale Intermediate School,Salt Lake City,UT
Paxon High School,Jacksonville,FL
Dick Dowling Elementary School,Port Arthur,TX
Southwestern Senior High School,Baltimore,MD
Most Pure Heart of Mary School,Mobile,AL
Edmondson Westside Senior High School,Baltimore,MD
Istrouma Senior High School,Baton Rouge,LA
J E B Stuart Junior High School (bus),Jacksonville,FL
Mascotte Elementary School ,Mascotte,FL
Oakland Elementary School,Greenwood,SC
Moses Montefoire Public School,Chicago,IL
Glen Hills High School,Augusta,GA
West Franklin Elementary School,Anderson,SC
Lanier High School,Jackson,MS
Siefert Elementary School,Milwaukee,WI
Aiea High School,Oahu,HI
Joy Middle School,Detroit,MI
Public School 67,Bronx,NY
Hubbard Woods Elementary School,Winnetka,IL
Fort Myers Middle School,Fort Myers,FL
Martin Luther King High School,Chicago,IL
Travis High School,Austin,TX
Cajon High School,San Bernadino,CA
Lessenger Junior High,Detroit,MI
Bristol High School,Bristol,RI
Pinellas Park High School,Largo,FL
West End Christian Elementary School,Tuscaloosa,AL
Reagan High School,Austin,TX
Simsboro High School,Ruston,LA
Gaither High School,Tampa,FL
Springfield High School,Springfield,PA
Mayde Creek High School,Katy,TX
Grady Vocational-Technical School,Brighton Beach,NY
East New York High School of Transit Technology,New York,NY
Englewood High School,Jacksonville,FL
Perales Elementary School,San Antonio,TX
Clearwater High School,Clearwater,FL
Southwestern High School,Detroit,MI
Andrews High School,Andrews,SC
Southwood Elementary School,Kingston,NC
DuSable High School,Chicago,IL
Illiana Christian High School,Lansing,IL
Oak Lawn Community High School,Oak Lawn,IL
Leto High School,Tampa,FL
MacAuthur Junior High,Jonesboro,AR
Pike Township High School,Indianapolis,IN
Murray-Wright High School,Detroit,MI
Panorama Elementary School,Santa Ana,CA
Riverside High School,El Paso,TX
Dekalb High School,De Kalb,MO
Mount Tom Country Day School,New Rochelle,NY
Orme School,Mayer,AZ
Dardanelle High School,Dardanelle,AR
Los Angeles High School,Los Angeles,CA
Fergus High School,Lewistown,MT
South Oak Cliff High School,Dallas,TX
Monrovia High School,Monrovia,CA
Benicia High School ,Benicia,CA
Maplewood High School,Nashville,TN
Cokeville Elementary School,Cokeville,WY
Carver High School,Atlanta,GA
Pine Forest High School,Fayetteville,NC
Senath-Hornersville High School,Senath,MO
Charles Drew Middle School,Miami,FL
Thornridge High School,Dolton,IL
Boyet Junior High School,Slidell,LA
Lake Clifton High School,Baltimore,MD
Vanguard Junior High School,Los Angeles,CA
Portland Junior High School,Portland,CT
Archbishop Ryan High School,Philadelphia,PA
Concord High School,Concord,NH
Chelsea School,Birmingham,AL
Spanaway Junior High School,Spanaway,WA
Southern Hills Joint Vocational High School,Georgetown,OH
Trotwood-Madison Senior High,Trotwood,OH
Wheatley High School,Houston,TX
East End Middle School (bus),Richmond,VA
Highland Park High School,Highland Park,TX
Parrott Junior High School,Brookville,FL
South Pittsburg High School,South Pittsburg,TN
MacArthur Senior High School,Aldine,TX
A I Prince Technical High School,Hartford,CT
St. Gregory's High School,Boston,MA
Goddard Junior High School,Goddard,KS
Arlington High School,Arlington,TX
Edwardsville High School,St. Louis,MO
Millford Mill High School,Rockdale,MD
Wilbur Cross High School,New Haven,CT
East Ascension High School,Gonzales,LA
Pendleton High School,Pendleton,SC
West Elementary School Bus,Celina,OH
Southeastern High School,Detroit,MI
Wyoming Area High School,Exeter,PA
Millsap Elementary School,Houston,TX
Cleveland Heights High School,Cleveland Heights,OH
Norco High School,Norco,CA
Booker T. Washington High School,Houston,TX
Southeast Polk High School,Pleasant Hill,IA
Rose Hill Magnolia Elementary School,Wallace,NC
Precious Blood School,Detroit,MI
Clinton High School,Clinton,LA
Sharpstown High School,Houston,TX
Central High School,Louisville,KY
Lake Clifton Senior HIgh School,Baltimore,MD
Boylan Central Catholic High School,Rockford,IL
Crawfordsville High School,Crawfordsville,IN
Harlem Park Junior High School,Baltimore,MD
James G. Blaine Elementary School,Chicago,IL
Highland Park High School,Highland Park,MI
Carver Vocational-Technical Senior High,Baltimore,MD
Compton High School,Los Angeles,CA
Walbrook High School,Baltimore,MD
Manuel Dominguez High School,Compton,CA
Greater Johnstown High School,Johnstown,PA
Mansfield Senior High School,Mansfield,OH
Lake Highland High School,Dallas,TX
Brentwood High School,New York,NY
Beaumont High School,St. Louis,MO
Santa Maria InCornata-Santa Lucia School,Chicago,IL
Albuquerque High School,Alburquerque,NM
DeLand High School,DeLand,FL
West Ward School,Coleman,TX
William H. Lemmel Middle School,Baltimore,MD
Parkway South Middle School,Baldwin,MO
John H. Reagan High School,Houston,TX
Huntsville High School,Huntsville,AL
Cooley High School,Detroit,MI
Elmont Memorial High School,Elmont,NY
South West Middle School,Pine Bluff,AR
Lake Braddock Secondary School,Burke,VA
Garside Junior High School,Las Vegas,NV
Anniston High School,Anniston,FL
Russell High School,East Point,GA
Forest Park Senior High School,Baltimore,MD
Deer Creek Junior High School,Littleton,CO
Valley High School,Las Vegas,NV
Lorain High School,Lorain,OH
Springfield High School,Springfield,OR
John McDonough Senior High,New Orleans,LA
Dorchester High School,Dorchester,MA
James Madison High School,Brooklyn,NY
Unnamed school,Houston,TX
George W. Wingate High School,Brooklyn,NY
Hartford Public High School,Hartford,CT
Aberdeen High School,Aberdeen,MD
Stuart Middle School,West Palm Beach,FL
Hobbs High School,Santa Fe,NM
William Longstreth Elementary School,Philadelphia,PA
New Iberia Junior HIgh School,New Iberia,LA
Poplarville High School,Poplarville,MS
Alexander Hamilton Junior High School,Cleveland,OH
Marshall High School ,Indianapolis,IN
Manuel Arts High School,Los Angeles,CA
Little Rock Hall High School,Little Rock,AR
Francis M. Wood Senior High School,Baltimore,MD
Willetts Middle School,Brunswick,OH
Longfellow Junior HIgh School,Lorain,OH
Hueytown High School,Hueytown,AL
Bridgeport Central High School,Bridgeport,CT
John S. Shaw High School,Mobile,AL
Springarn High School,Washington,DC
Forrest High School,Jacksonville,FL
Whittier High School,Los Angeles,CA
Clara Barton High School,Brooklyn,NY
Capeville Elementary School,Capeville,VA
Frederick Douglass Senior High School,Baltimore,MD
J Leslie Patton School,Dallas,TX
Hughes School,McComb,MS
Arsenal Technical High School,Indianapolis,IN
Valley View Elementary School,Longview,TX
Langdon Elementary School,"Washington, DC",DC
Lafayette High School,Williamsburg,VA
Blewett Middle School,St. Louis,MO
Eastern High School,Baltimore,MD
Unknown School,Lewisville,TX
Washington High School,Indianapolis,IN
O Fallen Technical High School,St. Louis,MO
Charlestown High School,Charlestown,MA
New Carlisle Elementary School,New Carlisle,OH
Azle Junior High School,Azle,TX
Martin L. Mattei Junior High School,Hughestown,PA
McArthur High School North,Miami,FL
Barstow High School,Barstow,CA
Grover Cleveland Elementary School,San Diego,CA
Park West High School,New York,NY
University City High School,University City,MO
Lanett Junior High School,Lanett,AL
Weymouth South High School,Weymouth,MA
Dover Air High,Dover,DE
Downtown Junior High School,Philadelphia,PA
Murchison Junior High School,Austin,TX
Ridgewood High School,Norridge,IL
Paul Dunbar Elementary School,Dallas,TX
Fordson High School,Detroit,MI
Gallatin Junior High School,Nashville,TN
Monroe Elementary School,Santa Rosa,CA
Everett High School,Lansing,MI
Hayes Junior High School,St. Albans,WV
Christian County Middle School,Hopkinsville,KY
Blue Hills Vocational High School,Canton,MA
Petaluma McNear Elementary,Santa Rosa,CA
Vashon High School,St. Louis,MO
Hazelwood Central Senior High School,St. Louis,MO
South Junior High School,Colorado Springs,CO
Holy Trinity High School,Chicago,IL
Stone Middle School,Cocoa,FL
Pioneer Christian Academy,Nashville,TN
Whitharral High School,Whitharral,TX
Parochial School,Hamburg,NY
Collinsville High School,Edwardsville,IL
Horace Mann Junior High School,Amarillo,TX
Fenger High School,Chicago,IL
Old Main Eisenhower High School,Blue Island,IL
Fremont School,St. Louis,MO
Burt Elementary School,Detroit,MI
Guildord County School Bus,Greensboro,NC
Mt. Savage High School,Cumberland,MD
Palm Beach Gardens High School,West Palm Beach,FL
Mark Twain School,St. Louis,MO
O D Wyatt High School,Fort Worth,TX
Escambia High School,Pensacola,FL
Columbus Central High School,Columbus,OH
Camelback High School,Phoenix,AZ
Orange High School,Santa Ana,CA
Murphy High School,Atlanta,GA
Hermosa Elementary School,Artesia,NM
Grant High School,Oklahoma City,OK
Central High School,St. Louis,MO
Dett Elementary School,Chicago,IL
Pitcher School,Detroit,MI
Rock Junior High School,St. Louis,MO
Fairmount Elementary School,Richmond,VA
Patterson Cooperative High School,Dayton,OH
Jones High School,Houston,TX
St. James School,Penns Grove,NJ
Board of Cooperative Educational Services,Mineola,NY
Olean High School,Olean,NY
Manual Arts High School,Los Angeles,CA
C A Brown High School,Charleston,SC
Booker Junior High School,Little Rock,AR
Douglass High School,Baltimore,MD
Destrehan High School,Hahnville,LA
San Fernando High School,Los Angeles,CA
Jefferson High School,Daly City,CA
Highlands Elementary School,Orlando,FL
Church Hill High School,Rogersville,TN
St. Stephen's Parochial School,Bridgeport,CT
Brownstown Central High School,Brownstown,IN
James Madison Junior High School,Oakland,CA
Barton Elementary School,Chicago,IL
Hughes High School,Cincinnati,OH
Fremont High School,Los Angeles,CA
Long Beach Polytechnic High School,Los Angeles,CA
Woodell Phillips High School,Chicago,IL
Northwestern High School,St. Louis,MO
Central High School,Minneapolis,MN
Barberton High School,Barberton,OH
Elmhurst Wood Park Community High School,Almwood Park,IL
Wilson High School,Los Angeles,CA
Rayen High School,Youngtown,OH
Booker T. Washington High School,Montgomery,AL
Cumming High School,Burlington,NC
South Iredell High School,Statesville,NC
Miami Northwest High School,Miami,FL
Pontiac Central High School,Pontiac,MI
Jefferson High School,Los Angeles,CA
Thorton Junior High,Akron,OH
Cullen Junior High,Houston,TX
Francis Scott Key Junior High,Houston,TX
Decatur Central High School,Indianapolis,IN
Libby Booth Elementary School,Reno,NV
East Ascension Junior High,Gonzales,LA
Unnamed Junior High School,Houston,TX
Markham Junior High School,Los Angeles,CA
Kenwood High School,Chicago,IL
Camlumet High School,Chicago,IL
Gwynn Falls Junior High School,Baltimore,MD
Stow High School,Stow,OH
Parkview Elementary School,Washington,DC
Carver Vocational High School,Baltimore,MD
Louis Stevenson Junior High School,Los Angeles,CA
Edmondson Senior High School,Baltimore,MD
Grove Elementary School,Tulsa,OK
Carlsbad Mid-High School,Carlsbad,NM
Forest Park High School,Baltimore,MD
City College High School,Baltimore,MD
Peabody Junior High School,Petersburg,VA
McKinley Vocational High School,Buffalo,NY
Dunbar High School,Lubbock,TX
Monessen High School,Monessen,PA
East Aurora Middle School,East Aurora,NY
Benton Harbor High School,Saint Joseph,MI
William Penn High School,Harrisburg,PA
Roskruge Junior High School,Tucson,AZ
Franklin D. Roosevelt Junior High School,Cleveland,OH
John F. Kennedy High School,Willingboro,PA
Morris E. Leeds Middle School,Philadelphia,PA
Xavier High School,Appleton,WI
Harlan High School,Chicago,IL
Appleseed Junior High School,Mansfield,OH
Washington Junior High School,Nashville,TN
Booker T. Washington High School,Memphis,TN
Pontiac Central High School,Detroit,MI
Central High School,Davenport,IA
Meridian High School,Meridian ,ID
Hamilton High School,Nashville,TN
Allapatah Elementary School,Miami,FL
Ben Lomond High School,Ogden,UT
Carver High School,Delray Beach,FL
Pierre S. Dupont High School,Wilmington,DE
Pine Bluff Coleman High School,Pine Bluff,AR
David Starr Jordan High School,Long Beach,CA
John F. Kennedy High School,Cleveland,OH
Unnamed High School,Washington,DC
Sousa Junior High,Washington,DC
Hine Junior High School,Washington,DC
